id,nama,merk,kategori,type,harga,harga_diskon,deskripsi,jumlah_stok,jumlah_pieces_packing,satuan_packing,angka_produk_favorit,url_foto
PRD-011,Helm Proyek Keselamatan Putih V-Gard Suspension Fastrac,MSA Safety,Safety & APD,VGARD-WHT-SL,195000,,"Helm standar ANSI Z89.1 Type 1 Class E, material polietilen densitas tinggi dengan sistem pengencang putar instan.",65,1,Unit,,https://images.unsplash.com/photo-1508873696983-2df5293cb32b?w=800&auto=format&fit=crop&q=80
PRD-012,Kabel Tali Seling Baja Galvanis 8mm 6x19 IWRC 100M,PowerRope,Fastener & Baut,WR-8MM-100M,1850000,1690000,"Tali kawat baja galvanis dengan inti baja independen (IWRC) untuk hoist, crane, sling angkat, dan rigging.",0,1,Rol 100 Meter,,https://images.unsplash.com/photo-1541888946425-d0fbb18086f6?w=800&auto=format&fit=crop&q=80
PRD-013,Regulator Las Oksigen High Pressure Heavy Duty,Yamato Japan,Peralatan Las,OXY-REG-HD,480000,430000,Pengatur tekanan gas oksigen presisi dengan double pressure gauge dari kuningan tempa tahan banting.,35,1,Kotak,,https://images.unsplash.com/photo-1581092335397-9583fe92d232?w=800&auto=format&fit=crop&q=80
PRD-014,Mata Bor Besi HSS Titanium Coated Set 13 Pcs (1.5-6.5mm),Makita Pro,Perkakas Tangan,D-09949,210000,175000,"Mata bor putar baja kecepatan tinggi (HSS) berlapis titanium nitrida untuk pengeboran stainless steel, besi, dan aluminium.",140,1,Kotak Plastik,,https://images.unsplash.com/photo-1504148455328-c376907d081c?w=800&auto=format&fit=crop&q=80
PRD-015,Kacamata Safety Clear Anti Gores & Anti Embun UV400,3M Safety,Safety & APD,SecureFit-SF401,75000,62000,"Kacamata pelindung mata dengan teknologi penyebaran tekanan tangkai elastis, lensa polikarbonat jernih tahan benturan.",220,20,Box,,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800&auto=format&fit=crop&q=80
PRD-016,Flange Carbon Steel ANSI 150# Weld Neck 2 Inch,Metalfar,Pipa & Fitting,FLG-WN-150-2,295000,,Flensa sambungan las pipa baja standar ANSI B16.5 rating tekanan 150 lbs tahan temperatur dan getaran pipa industri.,75,4,Dus,,https://images.unsplash.com/photo-1563986768609-322da13575f3?w=800&auto=format&fit=crop&q=80
,T Arde 3 Cabang T-106,Tofuda,STEkER DAN STOP KONTAK,Steker T,14500,,.,24,12,Kotak,1,https://res.cloudinary.com/oogpsevj/image/upload/v1787544214/T106.png
,T Datar 4 Cabang T-106DT,Tofuda,STEkER DAN STOP KONTAK,Steker T,11000,,.,24,12,Kotak,2,https://res.cloudinary.com/oogpsevj/image/upload/v1787547436/T106dt.png
,T Arde Colokan + USB T-106AU,Tofuda,STEkER DAN STOP KONTAK,Steker T,28000,,.,24,12,Kotak,3,https://res.cloudinary.com/oogpsevj/image/upload/v1787547459/T106au.png
,T Multi 3 Cabang T-107,Tofuda,STEkER DAN STOP KONTAK,Steker T,4500,,.,24,24,Kotak,4,https://res.cloudinary.com/oogpsevj/image/upload/v1787547489/T107.png
,T Datar Switch 4 Cabang T-106DTS,Tofuda,STEkER DAN STOP KONTAK,Steker T,13000,,.,24,12,Kotak,5,https://res.cloudinary.com/oogpsevj/image/upload/v1787547529/T106dts.png
,T Arde 3 Cabang Saklar T-106S,Tofuda,STEkER DAN STOP KONTAK,Steker T,22500,,.,24,12,Kotak,6,https://res.cloudinary.com/oogpsevj/image/upload/v1787547550/T106s.png
,T Multi 3 dengan Lampu LED T-107LP,Tofuda,STEkER DAN STOP KONTAK,Steker T,5000,,.,24,24,Kotak,7,https://res.cloudinary.com/oogpsevj/image/upload/v1787547838/T107lp.png
,Over Steker T-108,Tofuda,STEkER DAN STOP KONTAK,Over Steker,5300,,.,24,24,Kotak,8,https://res.cloudinary.com/oogpsevj/image/upload/v1787547838/T108.png
,Over Steker Saklar On Off 108SKW,Tofuda,STEkER DAN STOP KONTAK,Over Steker,8500,,.,24,24,Kotak,9,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/108skw.png
,Over Internasional T-011,Tofuda,STEkER DAN STOP KONTAK,Over Steker,25500,,.,10,1,Kotak,10,https://res.cloudinary.com/oogpsevj/image/upload/v1787547837/T011.png
,T Serbaguna Kaki 2 T-110,Tofuda,STEkER DAN STOP KONTAK,Steker T,9300,,.,24,12,Kotak,11,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/T110.png
,T Serbaguna T-110 Pluton,Tofuda,STEkER DAN STOP KONTAK,Steker T,18500,,.,24,12,Kotak,12,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/T110pluton.png
,Steker Arde Oval 201A,Tofuda,STEkER DAN STOP KONTAK,Steker,4300,,.,20,20,Kotak,13,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/201a.png
,Steker Arde 201 Proteus,Tofuda,STEkER DAN STOP KONTAK,Steker,4000,,.,20,20,Kotak,14,https://res.cloudinary.com/oogpsevj/image/upload/v1787548870/proteus.png
,Steker Lampu LED Saklar T-203,Tofuda,STEkER DAN STOP KONTAK,Steker,11200,,.,24,24,Kotak,15,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/T203.png
,Steker Arde Cabut 201C,Tofuda,STEkER DAN STOP KONTAK,Steker,4500,,.,20,20,Kotak,16,https://res.cloudinary.com/oogpsevj/image/upload/v1787547837/T201c.png
,Kontra Arde  T-201KTR,Tofuda,STEkER DAN STOP KONTAK,Kontra,5200,,.,20,20,Kotak,17,https://res.cloudinary.com/oogpsevj/image/upload/v1787547837/T201ktr.png
,Steker Lampu Saklar classic  203C,Tofuda,STEkER DAN STOP KONTAK,Steker,9000,,.,24,12,Kotak,18,https://res.cloudinary.com/oogpsevj/image/upload/v1787547837/203c.png
,Steker Saklar Lampu Merah T-203SK,Tofuda,STEkER DAN STOP KONTAK,Steker,9500,,.,24,24,Kotak,19,https://res.cloudinary.com/oogpsevj/image/upload/v1787547836/T203sk.png
,Steker Gepeng T-205 Neso Hitam/Putih,Tofuda,STEkER DAN STOP KONTAK,Steker,2500,,.,48,48,Kotak,20,https://res.cloudinary.com/oogpsevj/image/upload/v1787547835/T205neso.png
,Fitting Kombinasi Bakelite T-208 Hitam/Putih,Tofuda,SAKLAR DAN FITTING,Fitting,7000,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Steker Gepeng T-205,Tofuda,STEkER DAN STOP KONTAK,Steker,2500,,.,48,48,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Kontra Gepeng T-205KG,Tofuda,STEkER DAN STOP KONTAK,Kontra,2200,,.,48,48,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Gantung Kombinasi Bakelite T-210 Hitam/Cream,Tofuda,SAKLAR DAN FITTING,Fitting,7300,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Gantung Bakelite T-211,Tofuda,SAKLAR DAN FITTING,Fitting,4000,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Gantung Bakelite T-216,Tofuda,SAKLAR DAN FITTING,Fitting,4000,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting WD keramik E27 T-318,Tofuda,SAKLAR DAN FITTING,Fitting,8000,,.,10,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Gantung Bakelite T-213,Tofuda,SAKLAR DAN FITTING,Fitting,2500,,.,50,50,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Gantung Jumbo Bakelite T-035,Tofuda,SAKLAR DAN FITTING,Fitting,4000,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-256 TFD,Tofuda,SAKLAR DAN FITTING,Fitting,7000,,.,10,1,pcs,21,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-613,Tofuda,SAKLAR DAN FITTING,Fitting,2900,,.,24,24,pcs,22,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-258,Tofuda,SAKLAR DAN FITTING,Fitting,5000,,.,12,12,pcs,23,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Ukir Oval Anti Api T-685,Tofuda,SAKLAR DAN FITTING,Fitting,4600,,.,24,24,pcs,24,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Ukir Segi Anti Api T-686,Tofuda,SAKLAR DAN FITTING,Fitting,4600,,.,24,24,pcs,25,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Ukir Bulat Anti Api T-687,Tofuda,SAKLAR DAN FITTING,Fitting,4600,,.,24,24,pcs,26,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-998 Hijau/Pink/Biru/Abu2,Tofuda,SAKLAR DAN FITTING,Fitting,7800,,.,12,12,pcs,27,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1188,Tofuda,SAKLAR DAN FITTING,Fitting,5000,,.,12,12,pcs,28,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Bunga T-1166,Tofuda,SAKLAR DAN FITTING,Fitting,5200,,.,12,12,pcs,29,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199A,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,30,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199C,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,31,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199B,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,32,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199D,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,33,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199E,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,34,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon T-1199F,Tofuda,SAKLAR DAN FITTING,Fitting,11200,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Bakelite Segi 4 TS-01,Tofuda,SAKLAR DAN FITTING,Fitting,4200,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Bakelite Oval TS-02,Tofuda,SAKLAR DAN FITTING,Fitting,4200,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Bakelite Segi 8 TS-03,Tofuda,SAKLAR DAN FITTING,Fitting,4200,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Oval TP-01,Tofuda,SAKLAR DAN FITTING,Fitting,3200,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Segi 4 TP-02,Tofuda,SAKLAR DAN FITTING,Fitting,3200,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Plafon Segi 8 TP-03,Tofuda,SAKLAR DAN FITTING,Fitting,3200,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Colok Switch L T-168 Hitam/Putih,Tofuda,SAKLAR DAN FITTING,Fitting Colok,7000,,.,36,36,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Colok T-322 Hitam/Putih,Tofuda,SAKLAR DAN FITTING,Fitting Colok,3200,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Jerman Bakelite E14,Tofuda,SAKLAR DAN FITTING,Fitting Jerman,7500,,.,25,20,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Jerman Bakelite E27,Tofuda,SAKLAR DAN FITTING,Fitting Jerman,8000,,.,20,20,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Label + Topi 5Y,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,18000,,.,120,120,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Label + Topi 10Y,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,25000,,.,120,120,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Kabel Outdoor 5M 1F Anti Air,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,16500,,.,240,240,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Kabel Outdoor 10M 10F Anti Air,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,115000,,.,20,20,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Kabel Outdoor 10M 20F Anti Air,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,185000,,.,20,20,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Flexible 20cm T-702,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,14700,,.,300,300,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Jepit 30cm T-718,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,38000,,.,150,150,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Fitting Sensor E27 T-688,Tofuda,SAKLAR DAN FITTING,Fitting Kabel,29500,,.,10,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Engkel Piano T-101,Tofuda,SAKLAR DAN FITTING,Saklar Engkel,3500,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Engkel Piano T-102 Radium,Tofuda,SAKLAR DAN FITTING,Saklar Engkel,3700,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Saklar Gantung Orion T-9 Hitam/Putih,Tofuda,SAKLAR DAN FITTING,Saklar Engkel,2700,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Saklar Gantung Jumbo A-9 Hitam/Putih,Tofuda,SAKLAR DAN FITTING,Saklar Engkel,2700,,.,50,50,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde 501A,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,7800,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde 502A,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,9500,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde 503A,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,11800,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde 504A,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,14000,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde 505A,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,16200,,.,8,8,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Gepeng 502GP,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,6000,,.,24,24,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Gepeng 503GP,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,8000,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Gepeng 504GP,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,9700,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Gepeng 505GP,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,11000,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde Saklar T-502SA Omega,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,18000,,.,10,10,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde Saklar T-503SA Omega,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,20500,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde Saklar T-504SA Omega,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,23000,,.,8,8,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak Arde Saklar T-505SA Omega,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak,25500,,.,8,8,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 3Lubang T-8803 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,23500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 4Lubang T-8804 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,25500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 5Lubang T-8805 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,26800,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 3Lubang T-8803 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,23500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 4Lubang T-8804 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,25500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 3M 5Lubang T-8805 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,26800,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 3Lubang T-8803 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,27500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 4Lubang T-8804 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,28800,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 5Lubang T-8805 Cream,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,29900,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 3Lubang T-8803 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,27500,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 4Lubang T-8804 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,28800,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Stop Kontak 5M 5Lubang T-8805 Hitam,Tofuda,STEkER DAN STOP KONTAK,Stop Kontak Kabel,29900,,.,48,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Box Kabel 7661 10M,Tofuda,Kabel Dan Box Kabel,Box Kabel,85000,,.,12,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,Box Kabel 7661 15M,Tofuda,Kabel Dan Box Kabel,Box Kabel,106000,,.,12,1,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,OB Engkel Radium T-801R,Tofuda,SAKLAR DAN FITTING,Engkel OB,6600,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,OB Seri Radium T-802R,Tofuda,SAKLAR DAN FITTING,Seri OB,8300,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,OB Engkel Stop Radium T-803R,Tofuda,SAKLAR DAN FITTING,Engkel Stop OB,8300,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,OB Stop Radium T-805R,Tofuda,SAKLAR DAN FITTING,Stop OB,7600,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
,OB Engkel T-801,Tofuda,SAKLAR DAN FITTING,Engkel OB,5000,,.,12,12,pcs,,https://res.cloudinary.com/jxqapzzv/image/upload/v1787629369/pngkey.com-under-construction-comingsoon.png
